上位のページ,クリック数,表示回数,CTR,掲載順位
https://buzzbase.jp/,373,4928,7.57%,4.78
https://buzzbase.jp/calculation-of-grades,115,8129,1.41%,5.47
https://buzzbase.jp/tools/ops,61,4264,1.43%,5.62
https://buzzbase.jp/tools/k-bb,16,720,2.22%,5.11
https://buzzbase.jp/tools/obp,11,947,1.16%,3.76
https://buzzbase.jp/note/new,10,187,5.35%,8.67
https://buzzbase.jp/mypage/sami,3,117,2.56%,3.43
https://buzzbase.jp/account-deletion,2,86,2.33%,2.7
https://buzzbase.jp/mypage/tomo_49,2,52,3.85%,2.65
https://buzzbase.jp/signup,1,78,1.28%,2.67
https://buzzbase.jp/tools/bb-9,1,73,1.37%,4.32
https://buzzbase.jp/termsofservice,1,64,1.56%,5.47
https://buzzbase.jp/contact,0,27,0%,1.63
https://buzzbase.jp/signup?auth_required=true,0,17,0%,5.18
https://buzzbase.jp/privacypolicy,0,11,0%,3
https://buzzbase.jp/mypage/big_boy71/following,0,1,0%,9
https://buzzbase.jp/mypage/sami/following,0,1,0%,10
